CountryName,Date,ConfirmedCases,ConfirmedDeaths,DailyNewCases,DailyNewDeaths
United States,2021-02-20,28052460.0,522044.0,65955.0,5099.0
United States,2021-02-21,28107524.0,526131.0,55065.0,4087.0
United States,2021-02-22,28158551.0,530566.0,51027.0,4434.0
United States,2021-02-23,28190688.0,536684.0,32136.0,6118.0
United States,2021-02-24,28238741.0,543720.0,48053.0,7036.0
United States,2021-02-25,28299994.0,552804.0,61253.0,9084.0
United States,2021-02-26,28378642.0,560462.0,78648.0,7657.0
United States,2021-02-27,28431089.0,567627.0,52448.0,7166.0
United States,2021-02-28,28471426.0,573662.0,40337.0,6035.0
United States,2021-03-01,28506233.0,579817.0,34807.0,6154.0
United States,2021-03-02,28520724.0,587328.0,14492.0,7511.0
United States,2021-03-03,28551403.0,595795.0,30678.0,8467.0
United States,2021-03-04,28596967.0,606609.0,45565.0,10814.0
United States,2021-03-05,28659995.0,615947.0,63027.0,9337.0
United States,2021-03-06,28698243.0,624980.0,38248.0,9034.0
United States,2021-03-07,28725075.0,632901.0,26832.0,7921.0
United States,2021-03-08,28746514.0,640665.0,21439.0,7764.0
United States,2021-03-09,28754895.0,649624.0,8381.0,8959.0
United States,2021-03-10,28772775.0,659709.0,17879.0,10085.0
